name|address|fio|url
Государственное автономное учреждение здравоохранения «Энгельсская городская больница № 2»|413124 Саратов.обл.,г.Энгельс, ул.Полиграфическая,д.1|Додин Сергей Викторович|http://enggb2.medportal.saratov.gov.ru/
Государственное автономное учреждение здравоохранения «Энгельсская городская клиническая больница № 1»|413116, Саратовская область, г.Энгельс, ул. Весенняя ,6|Столяров Игорь Константинович|http://enggb1.medportal.saratov.gov.ru/
Государственное автономное учреждение здравоохранения Саратовской области «Областная офтальмологическая больница»|410051, Саратовская обл, Саратов г, 9 Дачная остановка тер, б/н|Максимов Владимир Юрьевич|http://oftb.medportal.saratov.gov.ru/
Государственное автономное учреждение здравоохранения Саратовской области «Энгельсская районная больница»|г. Энгельс, Волжский пр-т, 61|Афанасьев Михаил Валерьевич|http://engerb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Турковская районная больница»|р.п.Турки ул.Больничная 80|Мельникова Валентина Николаевна|http://turcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения «Областная клиническая больница»|410053 г.Саратов, Смирновское ущелье, д.1|Шульдяков Владимир Анатольевич|http://okb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения «Областной госпиталь для ветеранов войн»|410002 г.Саратов, ул.Соборная, д.22|Ковалев Евгений Петрович|http://gvv.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения «Областной клинический кардиологический диспансер»|ул. Крымская - 15|Агапов Валерий Владимирович|http://okc.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения «Саратовская городская клиническая больница № 1 им. Ю.Я. Гордеева»|410017, г.Саратов, ул.Хользунова, д.19|Салов Игорь Аркадьевич|http://sar1gkb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения «Саратовская городская клиническая больница № 2 им. В.И. Разумовского»|410028, г. Саратов, ул. им Чернышевского Н.Г., д. 141|Бакал Наталия Евгеньевна|http://sargkb2.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения «Саратовская городская клиническая больница № 8»|"410052 г.Саратов, ул. Одесская, д.46 ""А"""|Максимов Юрий Васильевич|http://sargkb8.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения «Саратовская городская клиническая больница № 10»|410022 г.Саратов, ул.Заречная, д.2|Максимова Людмила Вячеславовна|http://sargkb10.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения «Саратовская городская клиническая больница № 12»|410039 г.Саратов, ул. Крымская, д.15.|Ходаев Сергей Петрович|http://sargkb12.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения «Саратовская городская клиническая больница № 5»|410071, Саратов, 4-й Рабочий пр., 3|Семенищев Сергей Юрьевич|http://sargkb5.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Александрово-Гайская районная больница»|Саратовская область с.Алекасндров Гай пр.Мирный д.4|Костина Елена Анатольевна|http://algcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Аркадакская районная больница»|412210, Саратовская обл., г.Аркадак, ул.Ленина 85|Бочагова Татьяна Вячеславовна|http://arkcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Аткарская районная больница»|412423, Саратовская обл, Аткарск г, ул.В.Макеевой, д.23|Полякова Элеонора Михайловна|http://atkcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Базарно-Карабулакская районная больница»|412600, Саратовская обл, Базарный Карабулак рп, Топольчанская ул, 2|Тома Александр Сергеевич|http://bkcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Балашовская районная больница»|412316 Саратов.обл.,г.Балашов,ул.Красина,д.97|Гадяцкий Андрей Юрьевич|http://blscrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Балтайская районная больница»|Саратовская обл.,Балтайский р-н, с. Балтай, ул. Колхозная, д.1|Куляев Кирилл Андреевич|http://bltcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Вольская районная больница»|412900 Саратов.обл.,г.Вольск, ул.Львова Роща,д.1|Шумаков Сергей Валентинович|http://volcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Воскресенская районная больница»|413030, Саратовская обл, Воскресенское с, Зеленая ул, 30|Чупильник Александр Михайлович|http://voscrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Городская больница г. Балаково»|413840 Саратов.обл., г.Балаково,ул.Академика Жук,64|Крючкова Надежда Николаевна|http://blkgb1.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Дергачевская районная больница»|413450, Саратов.обл.,р.п.Дергачи, тер. Райбольницы|Хусаинов Шамиль Шакирзянович|http://dercrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Духовницкая районная больница»|413900, СО, Духов. р-н, Духов. рп, Академика Марчука ул, 11|Афонина Наталья Геннадьевна|http://duhcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Екатериновская районная больница»|412120, Саратовская обл, Екатериновка рп, 50 лет Октября ул, 93|Горбачев Вячеслав Геннадьевич|http://ekcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Ершовская районная больница»|413500 Саратов.обл.,г.Ершов, ул. Медиков,3А|Севастьянов Сергей Юрьевич|http://erscrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Ивантеевская районная больница»|413950, Саратовская обл, Ивантеевский р-н, Ивантеевка с, Московская ул, 1|Зулкайдаев Нурмагомед Саидович|http://ivcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Калининская районная больница»|412480, Саратовская обл, Калининский р-н, Калининск г, Поликлинический пер, 1|Софронов Александр Сергеевич|http://klncrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Красноармейская районная больница»|412800, город Красноармейск, ул. Кузнечная, 5|Сапрунов Алексей Валерьевич|http://kracrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Краснокутская районная больница»|413230, Саратовская обл, Красный Кут г, Победы пр-кт, 28|Карга Елена Валериевна|http://krkcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Краснопартизанская районная больница»|413540, Саратовская область, Краснопартизанский район, п. Горный, ул. Саратовская, д. 3|Буданова Лидия Викторовна|http://krpcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Лысогорская районная больница»|412860, Саратовская обл, Лысогорский р-н, Лысые Горы рп, Советская ул, 36|Ситенкова Людмила Викторовна|http://liscrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Марксовская районная больница»|413090 Саратовская обл., город Маркс, ул. Загородная роща, д. 51|Пархонюк Игорь Вадимович|http://marcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Медико-санитарная часть городского округа ЗАТО Светлый»|412163 Саратов.обл.,п.Светлый,ул.Коваленко,д.16|Тимофеева Олеся Викторовна|http://svetmsc.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Новобурасская районная больница»|412580 Саратовская обл.,р.п.Новые Бурасы, 1-й Советский переулок, д.1|Елесина Марина Борисовна|http://nbcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Новоузенская районная больница»|413361, Саратовская обл, Новоузенский р-н, Новоузенск г, ул. Московская, 44|Акатова Елена Анатольевна|http://novouzcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Озинская районная больница»|413620, Саратовская обл., р.п.Озинки, ул. Большевистская 37|Платов Андрей Юрьевич|http://ozcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Перелюбская районная больница»|413750 Саратовская обл., с.Перелюб, ул.Западная, д.1|Ивлиева Валентина Ивановна|http://prlcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Петровская районная больница»|412540, Саратовская обл., г.Петровск, ул.Красноармейская,14|Вагаев Дмитрий Владимирович|http://petrcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Питерская районная больница»|"413320, Саратовская область, Питерский район, село Питерка, улица 40-лет Победы, 1 ""А"""|Боженко Александр Анатольевич|http://pitcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Пугачевская районная больница»|413720,Саратовская обл., г.Пугачев, ул.Советская,142|Заботина О.А.|http://pugcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Ровенская районная больница»|413270, Саратовская обл, Ровное рп, Больничная ул, 1|Мириева Ирана Джалиловна|http://rovcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Романовская районная больница»|412270, Саратовская обл, Романовский р-н, Романовка рп, Войно-Ясенецкого, 4|Горбунов Александр Николаевич|http://romcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Ртищевская районная больница»|412030 Саратов.обл.,г.Ртищево,ул.Красная,18|Крикунов Сергей Валерьевич|http://rticrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Самойловская районная больница»|412370, Саратовская обл, Самойловский р-н, Самойловка рп, Пролетарская ул, 2|Артёмов Леонид Александрович|http://samcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Саратовская районная больница»|Российская Федерация, 410507, Саратовская обл, г. Саратов, Ленинский р-н, Жасминный п, Строителей ул., 12|Пугачева Татьяна Николаевна|http://sarcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Советская районная больница»|р.п.Степное ул.Кирова 10|Главный врач Тяпкин Игорь Анатольевич|http://stepcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Татищевская районная больница»|412170, Саратовская обл, Татищево рп, Мичурина ул, 9|Самедов Игорь Автандилович|http://tatcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Федоровская районная больница»|413410, Саратовская обл, Мокроус рп, Юнева ул, 18|Андреев Евгений Петрович|http://mokcrb.medportal.saratov.gov.ru/
Государственное учреждение здравоохранения Саратовской области «Хвалынская районная больница имени Бржозовского»|412780 Саратовская обл., г.Хвалынск, ул.Рос. Республики, д.73|Швец Илья Вадимович|http://hvlcrb.medportal.saratov.gov.ru/
