1|Энгельский район
2|Турковский район
3|Саратов
4|Саратовский район
5|Аркадакский район
6|Аткарский район
7|Базарно-Карабулакский район
8|Балашовский район
9|Вольский район
10|Балаковский район
11|Дергачевский район
12|Екатериновский район
13|Ершовский район
14|Калининский район
15|Красноармейский район
16|Краснокутский район
17|Краснопартизанский район
18|Лысогорский район
19|Марксовский район
20|ЗАТО Светлый
21|Новобурасский район
22|Новоузенский район
23|Озинский район
24|Петровский район
25|Питерский район
26|Пугачевский район
27|Ровновский район
28|Романовский район
29|Ртищевский район
30|Самойловский район
31|Советский район
32|Татищевский район
33|Федоровский район
34|Воскресенский район
35|Александрово-Гайский район
36|Балтайский район
37|Ивантеевский район
38|Хвалынский район
39|Перелюбский район
40|Духовницкий район
